"character","meaning","readings","examples","ready"
"究","recherche","きゅう・く・きわ","きゅう：研究者（けんきゅうしゃ）
く：究竟（くきょう）
きわ：究める（きわめる）","true"
"語","langage","ご・かた","ご：英語（えいご）
かた：語り（かたり）","true"
"文","phrase","ぶん・もん・ふみ・あや","ぶん：作文（さくぶん）
もん：衣文（えもん）
ふみ：文（ふみ）
あや：文目（あやめ）","true"
"英","Angleterre","えい・はなぶさ","えい：英語（えいご）
はなぶさ：英（はなぶさ）","true"
"化","transformation","か・け・ば・ふ","か：文化（ぶんか）
け：化粧（けしょう）
ば：化け（ばけ）
ふ：化ける（ふける）","true"
"数","nombre","すう・す・かず・かぞ","すう：異数（いすう）
す：数（かず）
かず：御数（おかず）
かぞ：数え（かぞえ）","true"
"心","coeur","しん・こころ・ごころ","しん：心配（しんぱい）
こころ：心から（こころから）
ごころ：異心（ことごころ）","true"
"若","jeune","じゃく・にゃく・わか・も","じゃく：若齢（じゃくれい）
にゃく：老若（ろうにゃく）
わか：若い（わかい）
も：若し（もし）","true"
"集","rassembler","しゅう・あつ・つど","しゅう：集（しゅう）
あつ：集め（あつめ）
つど：集い（つどい）","true"
"知","savoir","ち・し","ち：知識（ちしき）
し：お知らせ（おしらせ）","true"
"酒","saké","しゅ・さけ・さか","しゅ：酒さ（しゅさ）
さけ：酒（さけ）
さか：酒菜（さかな）","true"
"歌","chanson","か・うた","か：歌舞伎（かぶき）
うた：歌（うた）","true"
"声","voix","せい・しょう・こえ・こわ","せい：悪声（あくせい）
しょう：高声（こうしょう）
こえ：声（こえ）
こわ：声高（こわだか）","true"
"楽","musique","がく・らく・たの","がく：音楽（おんがく）
らく：楽（らく）
たの：楽しい（たのしい）","true"
"味","goût","み・あじ","み：趣味（しゅみ）
あじ：味（あじ）","true"
"油","huile","ゆ・ゆう・あぶら","ゆ：石油（せきゆ）
ゆう：油々（ゆうゆう）
あぶら：油（あぶら）","true"
"太","gras","たい・た・ふと","たい：太陽（たいよう）
た：太陽（たいよう）
ふと：太い（ふとい）","true"
"細","menu","さい・ほそ・こま","さい：委細（いさい）
ほそ：細い（ほそい）
こま：細かい お金（こまかい おかね）","true"
"皿","assiette","べい・さら","べい：器皿（きべい）
さら：灰皿（はいざら）","true"
"飯","repas","はん・めし","はん：炊飯器（すいはんき）
めし：飯（めし）","true"
"麦","orge","ばく・むぎ","ばく：麦酒（ばくしゅ）
むぎ：麦（むぎ）","true"
"春","printemps","しゅん・はる","しゅん：今春（こんしゅん）
はる：春（はる）","true"
"夏","été","か・なつ","か：夏日（かじつ）
なつ：夏（なつ）","true"
"秋","automne","しゅう・あき・とき","しゅう：今秋（こんしゅう）
あき：秋（あき）
とき：危急存亡の秋（ききゅうそんぼうのとき）","true"
"冬","hiver","とう・ふゆ","とう：越冬（えっとう）
ふゆ：冬（ふゆ）","true"
"空","vide","くう・そら・あ","くう：航空便（エアメール）（こうくうびん（エアメール））
そら：空（そら）
あ：空く（あく）","true"
"星","étoile","せい・しょう・ほし・ぼし","せい：衛星（えいせい）
しょう：七星（しちしょう）
ほし：星占い（ほしうらない）
ぼし：黒星（くろぼし）","true"
"雲","nuage","うん・くも・ぐも","うん：暗雲（あんうん）
くも：雲（くも）
ぐも：鰯雲（いわしぐも）","true"
"去","parti","きょ・こ・さ","きょ：去年（きょねん）
こ：過去（かこ）
さ：去る（さる）","true"
"天","cieux","てん・あめ","てん：天気（てんき）
あめ：天の（あめの）","true"
"晴","éclaircir","せい・は・ば","せい：晴々（せいせい）
は：晴れ（はれ）
ば：秋晴れ（あきばれ）","true"
"雪","neige","せつ・ゆき","せつ：降雪（こうせつ）
ゆき：雪祭り（ゆきまつり）","true"
"風","vent","ふう・ふ・かぜ・かざ","ふう：台風（たいふう）
ふ：台風（たいふう）
かぜ：風（かぜ）
かざ：風下（かざしも）","true"
